id;pisco;data;mes;NOM_EST;COD_EST;COD_PISCO
451;0.090159684;;1/07/1982;PROGRESO;X114040;2
452;1.616025805;0.8;1/08/1982;PROGRESO;X114040;2
453;22.40504074;15.8;1/09/1982;PROGRESO;X114040;2
454;63.83923721;60;1/10/1982;PROGRESO;X114040;2
455;106.7663727;111.3;1/11/1982;PROGRESO;X114040;2
456;51.50823593;47.8;1/12/1982;PROGRESO;X114040;2
457;92.23347473;82.6;1/01/1983;PROGRESO;X114040;2
458;60.13703537;57.8;1/02/1983;PROGRESO;X114040;2
459;73.10012817;73.4;1/03/1983;PROGRESO;X114040;2
460;29.93361092;27.2;1/04/1983;PROGRESO;X114040;2
461;6.609484196;6;1/05/1983;PROGRESO;X114040;2
462;0.211238891;;1/06/1983;PROGRESO;X114040;2
463;0.425133526;;1/07/1983;PROGRESO;X114040;2
464;0.106158979;;1/08/1983;PROGRESO;X114040;2
465;2.428380728;;1/09/1983;PROGRESO;X114040;2
466;11.05995274;7.8;1/10/1983;PROGRESO;X114040;2
